pid,year,Abies balsamifera,Acer saccharum,Betula papyrifera,Populus tremuloides,Tsuga canadensis
211,2002,20,0,0,0,0
212,1980,4,0,0,0,0
213,1993,5,0,11,0,0
214,1980,2,0,0,0,0
215,1980,32,0,0,0,0
216,1980,12,0,0,0,0
217,1980,10,0,2,0,0
218,1999,0,0,0,52,0
219,1980,13,0,0,0,0
220,2007,30,0,1,0,0
221,2004,0,0,0,14,0
222,2004,0,0,0,62,0
223,1999,0,0,0,28,0
224,1989,28,9,0,0,0
225,1980,0,0,34,0,0
226,2008,99,0,12,0,0
227,1999,27,0,0,0,0
228,1980,20,0,11,0,0
229,1980,16,0,7,12,0
230,1996,64,0,0,0,0
231,1980,16,0,0,0,0
232,1980,10,0,4,0,0
233,1980,44,0,21,0,0
234,2000,11,0,6,0,0
235,1996,59,0,0,0,0
236,1999,1,0,0,0,0
237,1993,30,0,0,0,0
238,1993,25,0,2,0,0
239,1980,32,0,13,0,0
240,1994,3,0,1,0,0
241,2000,52,0,0,0,0
242,1980,24,0,5,0,0
243,1980,38,0,0,0,0
244,1999,7,0,0,0,0
245,1999,13,0,0,0,0
246,1989,0,21,6,0,0
247,1999,7,0,0,0,0
248,1999,2,0,0,0,0
249,1980,0,0,0,24,0
250,1980,40,0,0,0,0
251,1994,1,0,0,0,0
252,2007,24,0,0,0,0
253,1998,9,0,20,0,0
254,1993,49,0,0,0,0
255,1985,89,0,2,0,0
256,1999,6,0,5,5,0
257,2001,63,0,0,0,0
258,2004,0,0,11,16,0
259,1995,0,0,0,4,0
260,1993,39,0,0,0,0
261,1997,0,0,0,60,0
262,2001,33,0,0,0,0
263,1989,10,0,0,0,0
264,2000,21,0,3,0,0
265,1994,0,0,8,0,0
266,1996,71,0,0,0,0
267,1996,41,0,3,0,0
268,1980,78,0,8,6,0
269,2001,59,0,0,0,0
270,2000,10,0,6,0,0
271,2004,70,0,0,0,0
272,2002,18,0,0,0,0
273,1998,8,0,23,13,0
274,1997,2,0,0,0,0
275,1999,9,0,0,0,0
276,2005,0,0,7,0,0
277,2000,16,0,0,0,0
278,2001,40,0,0,0,0
279,2001,28,0,0,0,0
280,1989,3,11,0,0,0
281,1989,29,12,0,0,0
282,1993,44,0,0,0,0
283,1997,0,0,0,79,0
284,1985,34,0,1,0,0
285,2002,19,0,0,0,0
286,2002,3,0,0,0,0
287,2001,48,0,0,0,0
288,1995,42,0,0,0,0
289,1995,23,0,0,0,0
290,1995,0,0,8,0,0
291,2006,57,0,0,0,0
292,1999,1,0,0,0,0
293,1999,4,0,0,0,0
294,2003,4,0,0,0,0
295,2005,50,0,7,0,0
296,1995,23,0,0,0,0
297,2004,4,0,0,0,0
298,2002,25,0,0,0,0
299,2002,14,0,0,0,0
300,2002,30,0,0,0,0
301,1994,1,0,0,0,0
302,2002,13,0,0,0,0
303,1997,0,0,0,71,0
304,2005,3,0,0,0,0
305,2002,42,0,0,0,0
306,1985,56,10,0,0,0
307,2004,22,0,0,0,0
308,2004,55,0,0,0,0
309,1997,0,0,0,63,0
310,2006,57,0,0,0,0
311,2005,23,0,2,0,0
312,1998,1,0,5,0,0
313,2001,63,0,9,0,0
314,2001,40,0,2,0,0
315,1998,22,0,0,0,0
316,1997,2,0,1,7,0
317,2003,19,0,0,0,0
318,1993,21,0,0,0,0
319,2005,20,0,0,0,0
320,2004,1,0,12,0,0
321,1989,2,18,0,0,0
322,1998,0,0,2,0,0
323,1998,0,0,19,12,0
324,1993,10,0,0,0,0
325,1993,2,0,0,0,0
326,2005,9,0,0,0,0
327,1989,2,0,0,0,0
328,2006,40,0,0,0,0
329,2007,15,0,0,0,0
330,2001,30,0,0,0,0
331,2005,17,0,0,0,0
332,1994,3,0,0,0,0
333,2000,23,0,0,0,0
334,2002,18,0,0,0,0
335,1999,5,0,0,0,0
336,2003,11,0,0,0,0
337,2003,7,0,0,0,0
338,2000,6,0,0,0,0
339,2003,17,0,0,0,0
340,2004,26,0,0,0,0
341,2004,13,0,0,0,0
342,1997,0,0,0,6,0
343,1993,31,0,0,0,0
344,1989,16,0,0,0,0
345,1989,0,20,0,0,0
346,1998,33,0,0,0,0
347,2008,39,0,0,0,0
348,2002,0,0,21,0,0
349,2006,1,0,9,2,0
350,1999,0,0,1,9,0
351,2004,19,0,0,0,0
352,2006,0,0,6,0,0
353,2007,22,0,0,0,0
354,2007,2,0,0,0,0
355,2003,12,0,0,0,0
356,2005,0,0,5,20,0
357,2009,105,0,0,0,0
358,1989,9,17,0,0,0
359,2006,7,0,0,7,0
360,2008,0,1,0,0,0
361,2010,0,0,0,0,16
362,2010,0,8,0,0,0
363,2006,0,2,0,0,0
364,2009,0,2,0,0,0
365,2006,0,13,0,0,0
366,2012,0,7,0,0,0
367,2007,0,5,0,0,0
368,2010,0,7,0,0,0
369,2010,0,19,0,0,0
370,2007,0,4,0,0,0
371,2007,0,4,0,0,0
372,2008,0,15,0,0,0
373,2011,0,8,0,0,0
374,2009,0,2,0,0,0
375,2011,0,13,0,0,1
376,2008,0,0,0,0,21
377,2009,0,1,0,0,0
378,2012,0,2,0,0,0
379,2009,0,3,0,0,0
380,2007,0,4,0,0,0
381,2012,0,1,0,0,0
382,2010,0,10,0,0,0
383,2007,0,4,0,0,0
384,2010,0,13,0,0,0
385,2009,0,2,0,0,0
386,2011,0,0,0,0,2
387,2012,0,4,0,0,0
388,2006,0,9,0,0,0
389,2011,0,0,0,0,14
390,2009,0,8,0,0,0
391,2010,0,10,0,0,0
392,2009,0,5,0,0,0
