species_code,n,died,year,plot
28731-ACE-SAC,5,0,2006,685125
28731-ACE-SAC,5,0,2006,685573
28731-ACE-SAC,5,0,2006,685587
28731-ACE-SAC,5,0,2006,685915
28731-ACE-SAC,5,0,2006,686202
28731-ACE-SAC,13,1,2006,685010
28731-ACE-SAC,13,1,2006,685125
28731-ACE-SAC,13,1,2006,685573
28731-ACE-SAC,13,1,2006,685587
28731-ACE-SAC,13,1,2006,685915
28731-ACE-SAC,13,1,2006,686202
28731-ACE-SAC,13,0,2012,397745
28731-ACE-SAC,1,1,2008,395943
28731-ACE-SAC,13,0,2005,398552
28731-ACE-SAC,12,3,2012,395756
28731-ACE-SAC,3,0,2009,395578
28731-ACE-SAC,5,3,2005,396914
28731-ACE-SAC,7,5,2007,397735
28731-ACE-SAC,19,0,2010,685323
28731-ACE-SAC,19,0,2010,686366
28731-ACE-SAC,10,1,2010,685323
28731-ACE-SAC,10,1,2010,686366
28731-ACE-SAC,16,0,2006,395599
28731-ACE-SAC,9,2,2008,396018
28731-ACE-SAC,1,1,2008,397105
28731-ACE-SAC,1,0,2005,397829
28731-ACE-SAC,8,0,2010,397590
28731-ACE-SAC,4,4,2007,397753
28731-ACE-SAC,2,0,2007,395774
28731-ACE-SAC,17,0,2010,396110
28731-ACE-SAC,9,2,2006,397717
28731-ACE-SAC,37,0,2006,398373
28731-ACE-SAC,4,0,2006,314495
28731-ACE-SAC,26,1,2005,314243
28731-ACE-SAC,7,3,2006,397922
28731-ACE-SAC,10,10,2007,395837
28731-ACE-SAC,8,1,2010,398338
28731-ACE-SAC,5,2,2008,419976
28731-ACE-SAC,15,10,2010,395657
28731-ACE-SAC,1,0,2007,316709
28731-ACE-SAC,7,1,2006,397009
28731-ACE-SAC,4,0,2005,396112
28731-ACE-SAC,5,0,2012,395770
28731-ACE-SAC,13,0,2012,396982
28731-ACE-SAC,4,1,2007,395804
28731-ACE-SAC,10,0,2007,398424
28731-ACE-SAC,2,1,2009,398719
28731-ACE-SAC,2,1,2009,398742
28731-ACE-SAC,24,22,2005,314350
28731-ACE-SAC,7,1,2008,422586
28731-ACE-SAC,6,6,2011,422484
28731-ACE-SAC,12,0,2012,397788
28731-ACE-SAC,11,6,2009,397874
28731-ACE-SAC,19,1,2009,396148
28731-ACE-SAC,19,1,2011,397708
28731-ACE-SAC,3,0,2005,398572
28731-ACE-SAC,3,3,2012,397727
28731-ACE-SAC,29,8,2008,398459
28731-ACE-SAC,3,0,2006,685435
28731-ACE-SAC,3,0,2006,686245
28731-ACE-SAC,8,1,2006,685435
28731-ACE-SAC,8,1,2006,686245
28731-ACE-SAC,2,0,2010,395615
28731-ACE-SAC,27,0,2007,396938
28731-ACE-SAC,4,0,2009,397210
28731-ACE-SAC,2,2,2009,396170
28731-ACE-SAC,14,2,2011,395564
28731-ACE-SAC,16,1,2010,685253
28731-ACE-SAC,16,1,2010,685426
28731-ACE-SAC,16,1,2010,685456
28731-ACE-SAC,16,1,2010,685483
28731-ACE-SAC,16,1,2010,685633
28731-ACE-SAC,16,1,2010,686420
28731-ACE-SAC,16,1,2010,686428
28731-ACE-SAC,10,1,2010,685253
28731-ACE-SAC,10,1,2010,685426
28731-ACE-SAC,10,1,2010,685456
28731-ACE-SAC,10,1,2010,685483
