sampleID	Season	Site	Date	Type	latitude	longitude	SR	E2_E3	E4_E6	SUVA254	FI	HIX	fresh	DOC	C1	C2	C3	C4	C5	C6	C7	HMWS-C	humic-C	LMWS-C	HMWS-N	humic-N	avgmolmass	molrich	DBE	AI	MLB	H_C	O_C	NH4	NO3	TP	Chla	AGR	FOR	PAV	URG
R3_winter	winter	R3	01.03.17	river	52.536128	13.216222	0.919	8.191	75.129	2.024	1.587	0.89	0.72	6.59	0.065	0.071	0.036	0.062	0.046	0.021	0.019	0.3	4.1	0.8	0.05	0.23	316.071	4846	8.716	0.329	17.437	1.2	0.377	0.1	0.02	28.67	1.64	0	0	100	0
R4_winter	winter	R4	06.03.17	river	52.57816985	13.1650865	1.049	7.704	3.685	2.103	1.548	0.9	0.681	8.6	0.059	0.075	0.038	0.053	0.041	0.016	0.015	0.6	5.3	0.8	0.06	0.34	330.107	5065	9.038	0.329	15.795	1.192	0.387	0.03	0.01	24.67	0	0	100	0	0
R5_winter	winter	R5	01.03.17	river	52.48935993	13.43949122	1.081	7.619	4.044	1.917	1.634	0.847	0.759	7.1	0.061	0.059	0.032	0.063	0.044	0.024	0.027	0.4	4	1.1	0.06	0.19	321.853	5028	8.469	0.31	20.306	1.224	0.379	0.72	0.03	122.33	6.42	0	0	30	70
R6_winter	winter	R6	01.03.17	river	52.4713667	13.49683056	0.968	6.773	5.7	2.343	1.652	0.848	0.755	7.66	0.092	0.078	0.049	0.116	0.066	0.039	0.038	0.3	4.1	1.2	0.05	0.21	320.223	5009	8.822	0.327	17.189	1.199	0.379	0.09	0.02	42	5.41	0	0	100	0
R7_winter	winter	R7	05.03.17	river	52.53689834	13.36759013	0.987	5.774	2.948	2.33	1.841	0.828	0.875	10.53	0.134	0.031	0.068	0.097	0.117	0.064	0.049	0.5	5.7	1.9	0.14	0.41	327.158	5382	8.634	0.309	19.937	1.225	0.381	0.08	0.03	114.67	0	0	0	60	40
S1_winter	winter	S1	02.03.17	stream	52.582089	13.38594	0.797	7.573	6.455	2.928	1.56	0.937	0.642	13.78	0.092	0.118	0.071	0.078	0.074	0.018	0.013	0.2	10.3	1.3	0.05	0.62	314.528	4679	8.715	0.341	16.627	1.19	0.367	0.11	0.02	55	0	0	0	95	5
S2_winter	winter	S2	02.03.17	stream	52.564883	13.34918	1.177	4.793	1.777	1.896	1.511	0.785	0.673	6.74	0.055	0.067	0.038	0.135	0.033	0.02	0.056	0.4	2.4	1.4	0.06	0.13	318.697	5080	7.811	0.278	28.366	1.28	0.359	0.48	0.06	103.33	4.86	0	0	50	50
S3_winter	winter	S3	02.03.17	stream	52.623837	13.468827	0.821	7.724	4.578	2.535	1.623	0.931	0.685	16.25	0.088	0.084	0.053	0.072	0.069	0.017	0.011	0.5	11.1	1.7	0.09	0.92	314.484	4158	8.708	0.339	14.478	1.181	0.387	0.07	0.04	649	23.45	0	100	0	0
S4_winter	winter	S4	07.03.17	stream	52.628808	13.453148	0.767	5.38	4.252	2.824	1.598	0.895	0.672	16.67	0.082	0.061	0.044	0.055	0.056	0.016	0.022	1	9.8	2.6	0.25	0.73	315.45	4495	8.506	0.333	18.398	1.201	0.369	0.05	0.01	86	0.98	100	0	0	0
S5_winter	winter	S5	27.02.17	stream	52.45888	13.612446	1.098	4.95	2.003	2.308	1.897	0.769	0.883	10.56	0.144	0.016	0.069	0.093	0.112	0.071	0.079	0.6	5.1	2.2	0.18	0.33	313.799	4827	8.238	0.307	22.022	1.236	0.374	3.52	0.12	162	0.18	0	50	50	0
S6_winter	winter	S6	28.02.17	stream	52.620652	13.410893	0.903	5.225	3.479	2.847	1.423	0.823	0.657	5.94	0.065	0.075	0.055	0.102	0.044	0.023	0.045	0.5	3.1	0.9	0.09	0.17	304.266	3963	8.154	0.319	20.918	1.21	0.384	0.03	0.04	122	0.34	50	0	30	20
S7_winter	winter	S7	28.02.17	stream	52.415131	13.562802	0.866	6.392	3.425	2.331	1.598	0.912	0.685	5.79	0.071	0.076	0.048	0.071	0.058	0.021	0.016	0	3.5	0.6	0	0.15	326.809	4698	8.968	0.334	14.857	1.183	0.387	0.08	0.02	13.67	0	0	0	100	0
