sampleID	Season	Site	Date	Type	latitude	longitude	SR	E2_E3	E4_E6	SUVA254	FI	HIX	fresh	DOC	C1	C2	C3	C4	C5	C6	C7	HMWS-C	humic-C	LMWS-C	HMWS-N	humic-N	avgmolmass	molrich	DBE	AI	MLB	H_C	O_C	NH4	NO3	TP	Chla	AGR	FOR	PAV	URG
P7_spring	spring	P7	24.04.16	pond	52.552818	13.335453	1.313	7.071	2.92	1.791	1.578	0.825	0.732	16.5	0.028	0.031	0.017	0.03	0.02	0.012	0.016	1.53	9.5	0.92	0.21	0.56	NA	NA	NA	NA	NA	NA	NA	0.06	0	191.74	12.48	0	0	30	70
R1_spring	spring	R1	30.04.16	river	52.42984681	13.68911773	1.009	7.304	3.68	2.401	1.631	0.871	0.733	5.83	0.068	0.084	0.04	0.077	0.054	0.03	0.024	0.42	4.5	0.75	0.04	0.19	NA	NA	NA	NA	NA	NA	NA	0.09	0.37	77.05	1.03	0	0	100	0
R2_spring	spring	R2	03.05.16	river	52.51934962	13.31959366	1.038	7.709	4.02	2.272	1.637	0.855	0.753	6.27	0.057	0.075	0.032	0.07	0.045	0.029	0.025	0.53	4.84	0.83	0.06	0.24	NA	NA	NA	NA	NA	NA	NA	0.14	0.32	35.06	1.39	0	0	80	20
R3_spring	spring	R3	22.04.16	river	52.536128	13.216222	0.986	7.515	3.947	2.141	1.696	0.863	0.786	6.73	0.067	0.066	0.037	0.072	0.056	0.034	0.022	0.46	4.56	0.69	0.06	0.25	NA	NA	NA	NA	NA	NA	NA	0.15	0.9	46.99	0	0	0	100	0
R4_spring	spring	R4	23.04.16	river	52.57816985	13.1650865	0.996	7.63	3.21	2.12	1.57	0.899	0.705	8.46	0.046	0.061	0.029	0.05	0.036	0.015	0.008	0.65	5.71	0.8	0.08	0.33	NA	NA	NA	NA	NA	NA	NA	0.06	0.05	19.12	0	0	100	0	0
R5_spring	spring	R5	03.05.16	river	52.48935993	13.43949122	1.074	7.343	3.496	2.251	1.642	0.845	0.77	6.56	0.056	0.07	0.032	0.069	0.046	0.031	0.027	0.63	4.79	0.81	0.07	0.22	NA	NA	NA	NA	NA	NA	NA	0.11	0.38	45.05	9.12	0	0	30	70
R7_spring	spring	R7	29.04.16	river	52.53689834	13.36759013	0.958	5.6	3.016	2.505	1.912	0.823	0.917	10.27	0.134	0.03	0.065	0.109	0.127	0.077	0.048	0.58	7.08	1.61	0.11	0.52	NA	NA	NA	NA	NA	NA	NA	0.14	3.92	179.65	1.16	0	0	60	40
S1_spring	spring	S1	02.05.16	stream	52.582089	13.38594	0.899	6.452	3.754	2.752	1.681	0.885	0.737	12	0.092	0.085	0.057	0.089	0.081	0.035	0.025	0.49	9.26	1.99	0.05	0.47	NA	NA	NA	NA	NA	NA	NA	0.1	0.43	129.05	4.95	0	0	95	5
S2_spring	spring	S2	29.04.16	stream	52.564883	13.34918	1.162	6.52	2.448	1.84	1.597	0.786	0.804	7.5	0.043	0.057	0.026	0.108	0.033	0.027	0.039	1.84	4.2	0.95	0.13	0.16	NA	NA	NA	NA	NA	NA	NA	0.14	0.27	48.8	15.99	0	0	50	50
S3_spring	spring	S3	28.04.16	stream	52.623837	13.468827	0.879	6.769	3.214	2.791	1.663	0.916	0.695	17.92	0.083	0.075	0.049	0.078	0.07	0.019	0.012	0.77	14.31	1.65	0.08	0.93	NA	NA	NA	NA	NA	NA	NA	0.15	3.13	1123.7	42.32	0	100	0	0
