spec	group	vel
spec_191	Cyanobacteria	0.241294043
spec_192	Cyanobacteria	0.25824504
spec_193	Cyanobacteria	0.230559161
spec_194	Cyanobacteria	0.139536871
spec_195	Cyanobacteria	0.271093471
spec_196	Cyanobacteria	0.227447306
spec_197	Cyanobacteria	0.300328576
spec_198	Cyanobacteria	0.263135303
spec_199	Cyanobacteria	0.152128075
spec_200	Cyanobacteria	0.368896328
spec_201	Cyanobacteria	0.223272791
spec_202	Cyanobacteria	0.150572481
spec_203	Cyanobacteria	0.319385446
spec_204	Cyanobacteria	0.36094379
spec_205	Cyanobacteria	0.284711252
spec_206	Cyanobacteria	0.166361138
spec_207	Cyanobacteria	0.446098651
spec_208	Cyanobacteria	0.155837286
spec_209	Cyanobacteria	0.236554753
spec_210	Cyanobacteria	0.168673268
spec_211	Cyanobacteria	0.396905965
spec_212	Cyanobacteria	0.232372024
spec_213	Cyanobacteria	0.204950366
spec_214	Cyanobacteria	0.232377944
spec_215	Cyanobacteria	0.24012641
