site;Agr;Con;For;SeN;Urb;Wet;light;GPP;ER;NEP;SRP;DIN;DOC;C1;C2;C3;C4;C5;Sr;AbsCoeff440;a255_a365;SUVA255;SA440;FI;HIX;b_a;velocity;slope.streambed;slope.watersurface;avg.depth;avg.width;Q;
24;0.39;0.59;0.00;0.00;0.01;0.01;8838502;1.10;-3.51;-1.75;19.19;10.64;3.46;397.4;122.7;214.8;123.0;76.4;0.84;1.44;4.61;5.96;0.42;1.87;0.77;1.01;0.330;0.002;0.002;0.32;16.54;1.075;
25;0.64;0.35;0.00;0.00;0.02;0.00;17512499;1.77;-12.90;-9.82;61.10;17.69;3.94;513.7;143.4;232.0;191.4;117.1;0.86;1.12;5.30;4.90;0.28;1.98;0.71;1.14;0.294;0.006;0.006;0.31;9.94;0.580;
26;0.30;0.68;0.00;0.00;0.01;0.01;20040492;0.70;-4.50;-3.92;14.78;8.00;3.55;387.0;129.3;225.3;115.7;64.4;0.81;1.54;4.44;6.09;0.43;1.83;0.77;1.01;0.280;0.002;0.003;0.40;6.61;0.562;
27;0.47;0.50;0.00;0.00;0.01;0.02;15177173;1.88;-11.35;-9.81;16.54;10.33;4.25;494.1;152.1;276.4;148.7;87.8;0.82;1.81;4.55;6.18;0.43;1.88;0.77;1.04;0.257;0.005;0.005;0.25;5.95;0.299;
28;0.04;0.94;0.00;0.00;0.00;0.01;2391397;0.28;-9.29;-9.26;10.96;3.11;4.49;248.3;171.1;172.9;100.2;25.8;0.83;2.08;4.17;5.90;0.46;1.78;0.77;0.96;0.181;0.009;0.009;0.19;3.51;0.096;
29;0.10;0.85;0.00;0.04;0.01;0.00;1567489;0.00;-7.23;-7.43;11.54;5.18;3.68;196.8;158.1;117.4;112.9;18.4;0.82;1.69;3.95;5.59;0.46;1.84;0.75;0.99;0.188;0.007;0.007;0.17;3.38;0.092;
30;0.72;0.28;0.00;0.00;0.00;0.00;5181781;6.02;-45.50;-40.90;56.25;13.00;3.11;376.2;125.4;187.3;132.0;98.5;0.92;1.20;4.54;5.02;0.39;1.99;0.73;1.07;0.250;0.026;0.026;0.21;6.21;0.239;
31;0.48;0.50;0.00;0.00;0.02;0.00;3018332;3.28;-17.06;-14.28;20.66;13.51;3.32;361.2;111.9;184.5;111.1;92.8;0.88;1.36;4.47;5.36;0.41;1.98;0.72;1.07;0.262;0.017;0.015;0.26;7.83;0.480;
32;0.27;0.36;0.37;0.00;0.01;0.00;3068210;0.78;-27.88;-28.09;28.60;9.86;3.82;346.4;130.0;208.3;95.7;70.9;0.83;2.04;4.10;6.27;0.53;1.95;0.77;0.99;0.357;0.019;0.020;0.21;5.47;0.345;
33;0.26;0.37;0.35;0.00;0.01;0.00;10615967;1.46;-25.69;-25.16;53.01;10.49;3.02;266.6;100.5;152.4;73.0;72.1;0.85;1.58;4.01;5.71;0.53;1.99;0.74;0.98;0.335;0.017;0.017;0.25;6.79;0.420;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
