bottle	scan	species	phase	NP	all.treat	ca_1	ca_2	ca_3	ca_4	ca_5	ca_6	ca_7	ca_8	na_1	na_2	na_3	na_4	pr_1	pr_2	pr_3
E1L1	s1	Pectobacterium	log	50	Pec_log_50_E1L1	0.088285	0.09124	0.135983	0.108167	0.167829	0.17224	0.158226	0.14397	0.045536	0.085571	0.13933	0.154316	0.285417	0.263447	0.269334
E1L1	s2	Pectobacterium	log	50	Pec_log_50_E1L1	0.04438	0.044525	0.116166	0.098371	0.153747	0.169481	0.183765	0.146117	0.056207	0.089489	0.155503	0.190504	0.28156	0.269002	0.258691
E1L1	s3	Pectobacterium	log	50	Pec_log_50_E1L1	0.04393	0.049171	0.128315	0.10993	0.157874	0.166533	0.177489	0.149558	0.04317	0.084819	0.162478	0.175553	0.291152	0.265683	0.28693
E1L1	s4	Pectobacterium	log	50	Pec_log_50_E1L1	0.055568	0.064502	0.116552	0.110457	0.153474	0.173991	0.189808	0.167862	0.037728	0.075252	0.138213	0.171109	0.282251	0.26458	0.277427
E1L1	s5	Pectobacterium	log	50	Pec_log_50_E1L1	0.047674	0.046546	0.117731	0.097961	0.159866	0.168584	0.172148	0.141565	0.048237	0.066853	0.151069	0.181126	0.281814	0.275873	0.273593
E1L1	s6	Pectobacterium	log	50	Pec_log_50_E1L1	0.04314	0.075688	0.115349	0.10679	0.162428	0.181815	0.183586	0.158975	0.047792	0.070407	0.152509	0.171454	0.281997	0.265541	0.275671
E1L1	s7	Pectobacterium	log	50	Pec_log_50_E1L1	0.050896	0.059087	0.11464	0.105323	0.156609	0.171687	0.186658	0.156561	0.037288	0.082549	0.153897	0.175705	0.274888	0.270007	0.27358
E1L1	s8	Pectobacterium	log	50	Pec_log_50_E1L1	0.056294	0.059221	0.121087	0.104879	0.149848	0.174995	0.184791	0.151896	0.044212	0.083536	0.158702	0.17926	0.27637	0.269871	0.263838
E1L1	s9	Pectobacterium	log	50	Pec_log_50_E1L1	0.045691	0.046529	0.116749	0.094426	0.162644	0.1704	0.18118	0.153778	0.050035	0.083875	0.152345	0.178686	0.289878	0.275077	0.28691
E1L1	s10	Pectobacterium	log	50	Pec_log_50_E1L1	0.035221	0.03546	0.101156	0.090704	0.152019	0.157676	0.177285	0.142841	0.041849	0.078394	0.16647	0.212352	0.27306	0.264366	0.271468
E1L1	s11	Pectobacterium	log	50	Pec_log_50_E1L1	0.04084	0.047719	0.11075	0.090351	0.148601	0.170625	0.171586	0.151945	0.043865	0.078121	0.142811	0.176091	0.28178	0.272497	0.281318
E1L1	s12	Pectobacterium	log	50	Pec_log_50_E1L1	0.058662	0.053559	0.126868	0.11173	0.167193	0.172011	0.188868	0.159601	0.044596	0.085782	0.156165	0.160757	0.306004	0.278888	0.302562
E1L1	s13	Pectobacterium	log	50	Pec_log_50_E1L1	0.044872	0.046427	0.115819	0.09996	0.156081	0.165473	0.191923	0.154934	0.058797	0.090247	0.155514	0.175615	0.284661	0.275721	0.272637
E1L1	s14	Pectobacterium	log	50	Pec_log_50_E1L1	0.045762	0.064243	0.113541	0.102939	0.164055	0.167807	0.183085	0.156383	0.039697	0.081625	0.163232	0.188221	0.303758	0.292177	0.276776
E1L1	s15	Pectobacterium	log	50	Pec_log_50_E1L1	0.032059	0.054473	0.115301	0.101653	0.157222	0.172102	0.1855	0.166286	0.037585	0.077144	0.150436	0.181908	0.283369	0.282238	0.270499
E1L1	s16	Pectobacterium	log	50	Pec_log_50_E1L1	0.047259	0.054655	0.109698	0.102747	0.148289	0.183603	0.188746	0.163843	0.040044	0.074383	0.14574	0.191365	0.282866	0.280402	0.255452
E1L1	s17	Pectobacterium	log	50	Pec_log_50_E1L1	0.045332	0.045961	0.107546	0.108172	0.162695	0.16965	0.182887	0.153798	0.040632	0.079473	0.154704	0.187201	0.289181	0.278459	0.291281
E1L1	s18	Pectobacterium	log	50	Pec_log_50_E1L1	0.038518	0.041935	0.106126	0.0884	0.153892	0.166624	0.176659	0.151407	0.040594	0.077136	0.151654	0.177796	0.281879	0.277156	0.285513
E1L1	s19	Pectobacterium	log	50	Pec_log_50_E1L1	0.045045	0.063901	0.117699	0.098606	0.153381	0.171586	0.178927	0.1515	0.042392	0.080136	0.15692	0.177583	0.275879	0.277015	0.283647
E1L1	s20	Pectobacterium	log	50	Pec_log_50_E1L1	0.036512	0.046137	0.11378	0.108814	0.161161	0.170643	0.169663	0.161722	0.041143	0.07911	0.139972	0.183856	0.293866	0.299685	0.279679
E1L2	s1	Pectobacterium	log	50	Pec_log_50_E1L2	0.059938	0.089745	0.12887	0.114409	0.163584	0.179647	0.185546	0.158462	0.030268	0.075889	0.123416	0.156553	0.286261	0.252967	0.265493
E1L2	s2	Pectobacterium	log	50	Pec_log_50_E1L2	0.059962	0.070539	0.131667	0.107273	0.163784	0.198754	0.198594	0.168119	0.029868	0.065094	0.139472	0.158988	0.272224	0.249988	0.275708
E1L2	s3	Pectobacterium	log	50	Pec_log_50_E1L2	0.03106	0.053219	0.114555	0.102824	0.146164	0.174235	0.173119	0.155769	0.047003	0.068222	0.123408	0.196471	0.281451	0.26661	0.265428
E1L2	s4	Pectobacterium	log	50	Pec_log_50_E1L2	0.053822	0.072254	0.107299	0.116615	0.165003	0.178918	0.172284	0.164431	0.044701	0.073386	0.129962	0.166476	0.26631	0.267464	0.27221
E1L2	s5	Pectobacterium	log	50	Pec_log_50_E1L2	0.031105	0.04836	0.106591	0.094078	0.149966	0.170862	0.17368	0.159673	0.049028	0.067707	0.146177	0.198018	0.264005	0.266331	0.275245
E1L2	s6	Pectobacterium	log	50	Pec_log_50_E1L2	0.039219	0.041881	0.109916	0.100731	0.155057	0.156478	0.173509	0.158978	0.04625	0.071805	0.123903	0.19916	0.276668	0.267868	0.269555
E1L2	s7	Pectobacterium	log	50	Pec_log_50_E1L2	0.030807	0.044123	0.099576	0.094268	0.15404	0.166857	0.177421	0.153572	0.041405	0.066887	0.144433	0.206113	0.257136	0.267632	0.270579
E1L2	s8	Pectobacterium	log	50	Pec_log_50_E1L2	0.052955	0.064218	0.110568	0.112907	0.14909	0.173275	0.170389	0.164252	0.045843	0.079909	0.142805	0.170156	0.268174	0.272587	0.270825
E1L2	s9	Pectobacterium	log	50	Pec_log_50_E1L2	0.035377	0.037832	0.100826	0.086884	0.136813	0.158383	0.182746	0.147184	0.051988	0.093987	0.185432	0.214197	0.247866	0.283191	0.257045
E1L2	s10	Pectobacterium	log	50	Pec_log_50_E1L2	0.062192	0.078086	0.116389	0.109194	0.1527	0.177956	0.187473	0.160159	0.04915	0.075761	0.145465	0.18113	0.282773	0.264405	0.257043
E1L2	s11	Pectobacterium	log	50	Pec_log_50_E1L2	0.057881	0.060851	0.113991	0.104585	0.151274	0.179899	0.173616	0.155663	0.056069	0.083212	0.138468	0.162097	0.278308	0.27181	0.274371
E1L2	s12	Pectobacterium	log	50	Pec_log_50_E1L2	0.047174	0.061148	0.118945	0.110135	0.158375	0.176587	0.188547	0.18087	0.030643	0.067342	0.118753	0.172902	0.273178	0.264144	0.273463
E1L2	s13	Pectobacterium	log	50	Pec_log_50_E1L2	0.042453	0.051342	0.112765	0.10132	0.152253	0.167025	0.176606	0.162667	0.036274	0.070043	0.136448	0.16974	0.272503	0.272367	0.263448
E1L2	s14	Pectobacterium	log	50	Pec_log_50_E1L2	0.073972	0.072428	0.102166	0.108681	0.150597	0.183657	0.181595	0.17623	0.033157	0.069152	0.13145	0.166843	0.247402	0.256992	0.244617
E1L2	s15	Pectobacterium	log	50	Pec_log_50_E1L2	0.096782	0.097615	0.138552	0.120004	0.152862	0.165074	0.178882	0.160965	0.034341	0.082787	0.120672	0.152802	0.25306	0.226336	0.249391
E1L2	s16	Pectobacterium	log	50	Pec_log_50_E1L2	0.079322	0.077273	0.121907	0.119658	0.149745	0.174373	0.186303	0.179798	0.037996	0.055734	0.115484	0.173367	0.265026	0.25411	0.252095
E1L2	s17	Pectobacterium	log	50	Pec_log_50_E1L2	0.057617	0.078776	0.122197	0.106483	0.159966	0.182197	0.186018	0.184775	0.031929	0.063098	0.11234	0.151864	0.288415	0.248768	0.268409
E1L2	s18	Pectobacterium	log	50	Pec_log_50_E1L2	0.029276	0.034131	0.114141	0.096939	0.147609	0.168918	0.168583	0.153672	0.03716	0.071033	0.133643	0.182413	0.271829	0.265801	0.27788
E1L2	s19	Pectobacterium	log	50	Pec_log_50_E1L2	0.067204	0.060747	0.114377	0.102941	0.146588	0.1554	0.164508	0.151644	0.041795	0.070762	0.148216	0.149163	0.262617	0.25921	0.281853
E1L2	s20	Pectobacterium	log	50	Pec_log_50_E1L2	0.044785	0.053007	0.106366	0.110123	0.16098	0.166236	0.171877	0.162453	0.038055	0.076081	0.126213	0.16897	0.283668	0.28008	0.275641
E2L1	s1	Pectobacterium	log	500	Pec_log_500_E2L1	0.072704	0.087431	0.140087	0.130456	0.163727	0.173512	0.181998	0.194967	0.01756	0.044403	0.078645	0.139087	0.314489	0.247663	0.291971
E2L1	s2	Pectobacterium	log	500	Pec_log_500_E2L1	0.066435	0.080321	0.141104	0.129324	0.176131	0.196867	0.179747	0.179869	0.029517	0.05316	0.089896	0.140746	0.319991	0.245695	0.29064
E2L1	s3	Pectobacterium	log	500	Pec_log_500_E2L1	0.066076	0.103407	0.143353	0.133789	0.163633	0.176927	0.172882	0.195578	0.029577	0.048169	0.081944	0.140262	0.304465	0.241722	0.276588
E2L1	s4	Pectobacterium	log	500	Pec_log_500_E2L1	0.065921	0.085524	0.128057	0.125816	0.17546	0.158578	0.173185	0.1692	0.020516	0.059263	0.102472	0.133099	0.306267	0.252603	0.280165
E2L1	s5	Pectobacterium	log	500	Pec_log_500_E2L1	0.081772	0.09309	0.133893	0.125817	0.170234	0.18131	0.177469	0.201951	0.022579	0.055213	0.088228	0.137886	0.298075	0.275565	0.277617
E2L1	s6	Pectobacterium	log	500	Pec_log_500_E2L1	0.052353	0.06666	0.115154	0.123128	0.168378	0.172758	0.181245	0.198396	0.021184	0.05785	0.088249	0.154566	0.28411	0.248382	0.284845
E2L1	s7	Pectobacterium	log	500	Pec_log_500_E2L1	0.057747	0.080141	0.137402	0.131382	0.173311	0.17528	0.18669	0.17935	0.02677	0.058604	0.105304	0.150575	0.313814	0.248652	0.280265
E2L1	s8	Pectobacterium	log	500	Pec_log_500_E2L1	0.046759	0.060049	0.126521	0.127283	0.16031	0.176567	0.187639	0.187162	0.026378	0.05861	0.091051	0.146062	0.313839	0.252049	0.274005
E2L1	s9	Pectobacterium	log	500	Pec_log_500_E2L1	0.063907	0.078062	0.140256	0.13421	0.16013	0.180492	0.197494	0.201362	0.030027	0.041857	0.097437	0.127312	0.300566	0.252654	0.283544
E2L1	s10	Pectobacterium	log	500	Pec_log_500_E2L1	0.048475	0.06944	0.123674	0.122738	0.175182	0.178258	0.178533	0.175496	0.027529	0.056503	0.088901	0.15036	0.317875	0.2386	0.296168
E2L1	s11	Pectobacterium	log	500	Pec_log_500_E2L1	0.057287	0.071583	0.131129	0.125184	0.15636	0.179479	0.177316	0.17819	0.027741	0.061142	0.106496	0.153351	0.302341	0.26163	0.295745
E2L1	s12	Pectobacterium	log	500	Pec_log_500_E2L1	0.066125	0.076502	0.123636	0.123583	0.16299	0.177446	0.179075	0.178259	0.027156	0.061711	0.094138	0.143679	0.313	0.247003	0.282916
E2L1	s13	Pectobacterium	log	500	Pec_log_500_E2L1	0.0408	0.049969	0.116073	0.115223	0.171476	0.169545	0.18959	0.184614	0.021417	0.049204	0.084535	0.155578	0.30406	0.262786	0.291254
E2L1	s14	Pectobacterium	log	500	Pec_log_500_E2L1	0.072387	0.080523	0.123157	0.117127	0.172075	0.160646	0.164213	0.168683	0.038994	0.055864	0.108187	0.151749	0.306705	0.235814	0.286747
E2L1	s15	Pectobacterium	log	500	Pec_log_500_E2L1	0.069973	0.096417	0.133042	0.130246	0.16442	0.178359	0.183373	0.192064	0.031296	0.052016	0.084382	0.138778	0.280189	0.256699	0.278619
E2L1	s16	Pectobacterium	log	500	Pec_log_500_E2L1	0.054614	0.069509	0.120461	0.114184	0.155482	0.16391	0.175514	0.16855	0.032412	0.054776	0.093061	0.144631	0.312708	0.267522	0.281949
E2L1	s17	Pectobacterium	log	500	Pec_log_500_E2L1	0.085357	0.080889	0.125651	0.124591	0.17226	0.167903	0.17183	0.178349	0.018381	0.061586	0.086839	0.142986	0.282664	0.236461	0.293769
E2L1	s18	Pectobacterium	log	500	Pec_log_500_E2L1	0.041591	0.043653	0.122562	0.116872	0.173773	0.167935	0.186401	0.175464	0.028564	0.059122	0.096837	0.14778	0.31665	0.250562	0.295669
E2L1	s19	Pectobacterium	log	500	Pec_log_500_E2L1	0.040931	0.049258	0.125479	0.119655	0.164337	0.168155	0.178169	0.176771	0.033759	0.057745	0.093933	0.146569	0.315963	0.252426	0.297723
E2L1	s20	Pectobacterium	log	500	Pec_log_500_E2L1	0.047066	0.062242	0.131204	0.115269	0.166473	0.178272	0.183464	0.197394	0.017456	0.057139	0.094536	0.150271	0.307819	0.258843	0.275977
E2L2	s1	Pectobacterium	log	500	Pec_log_500_E2L2	0.044892	0.071747	0.106783	0.11412	0.168914	0.176445	0.171864	0.169492	0.023475	0.056403	0.091689	0.14643	0.279823	0.243075	0.273694
E2L2	s2	Pectobacterium	log	500	Pec_log_500_E2L2	0.043289	0.052957	0.11455	0.113972	0.168528	0.170753	0.169307	0.18475	0.032358	0.055384	0.096333	0.153447	0.302647	0.248019	0.287477
E2L2	s3	Pectobacterium	log	500	Pec_log_500_E2L2	0.038694	0.067666	0.125229	0.124534	0.170903	0.179796	0.185184	0.184804	0.022641	0.053021	0.102543	0.145639	0.289541	0.256011	0.274364
E2L2	s4	Pectobacterium	log	500	Pec_log_500_E2L2	0.053872	0.072095	0.126774	0.125896	0.165572	0.169291	0.17294	0.185821	0.023387	0.050099	0.085743	0.138684	0.301562	0.254823	0.274075
E2L2	s5	Pectobacterium	log	500	Pec_log_500_E2L2	0.062357	0.098956	0.133858	0.120838	0.180737	0.187616	0.180873	0.195617	0.009266	0.041722	0.063838	0.140556	0.3077	0.245442	0.282363
E2L2	s6	Pectobacterium	log	500	Pec_log_500_E2L2	0.064369	0.091871	0.144914	0.132346	0.166681	0.196885	0.196468	0.186251	0.022414	0.052233	0.095199	0.124336	0.312358	0.246836	0.263721
E2L2	s7	Pectobacterium	log	500	Pec_log_500_E2L2	0.052145	0.075515	0.123426	0.129853	0.169863	0.183094	0.19215	0.190691	0.033548	0.058201	0.101732	0.144425	0.28356	0.24663	0.267005
E2L2	s8	Pectobacterium	log	500	Pec_log_500_E2L2	0.069878	0.075186	0.13814	0.123306	0.178807	0.178018	0.179128	0.183741	0.036471	0.060649	0.097979	0.145689	0.312133	0.260771	0.286935
E2L2	s9	Pectobacterium	log	500	Pec_log_500_E2L2	0.04272	0.063256	0.137204	0.121467	0.164406	0.178409	0.184009	0.178971	0.029566	0.066182	0.110779	0.141588	0.312083	0.245174	0.282038
E2L2	s10	Pectobacterium	log	500	Pec_log_500_E2L2	0.065662	0.085505	0.130692	0.121918	0.160255	0.194736	0.185054	0.179896	0.036065	0.057647	0.109131	0.137202	0.30234	0.256021	0.272728
E2L2	s11	Pectobacterium	log	500	Pec_log_500_E2L2	0.042167	0.056483	0.116073	0.114436	0.159637	0.178578	0.17254	0.188146	0.032536	0.063132	0.090712	0.148829	0.317382	0.259875	0.280011
E2L2	s12	Pectobacterium	log	500	Pec_log_500_E2L2	0.050244	0.073278	0.132073	0.118822	0.175634	0.182879	0.186649	0.187827	0.036417	0.051444	0.091165	0.13975	0.301824	0.254816	0.284001
E2L2	s13	Pectobacterium	log	500	Pec_log_500_E2L2	0.064589	0.064261	0.130567	0.124919	0.167702	0.16974	0.178285	0.180371	0.03616	0.05638	0.09526	0.160125	0.288295	0.241221	0.271979
E2L2	s14	Pectobacterium	log	500	Pec_log_500_E2L2	0.065292	0.070013	0.131337	0.128679	0.17214	0.185987	0.167189	0.177293	0.030412	0.043742	0.100665	0.132082	0.302323	0.253524	0.274741
E2L2	s15	Pectobacterium	log	500	Pec_log_500_E2L2	0.074221	0.081013	0.126341	0.126802	0.169779	0.189812	0.181975	0.161643	0.024051	0.051615	0.099723	0.135466	0.29355	0.247675	0.272296
E2L2	s16	Pectobacterium	log	500	Pec_log_500_E2L2	0.056772	0.084215	0.122649	0.126573	0.15864	0.164391	0.182714	0.175915	0.025578	0.055834	0.09576	0.142888	0.289897	0.243711	0.288802
E2L2	s17	Pectobacterium	log	500	Pec_log_500_E2L2	0.067805	0.096936	0.126636	0.122308	0.16357	0.180002	0.186794	0.190216	0.02869	0.052268	0.096389	0.140143	0.292101	0.243243	0.262833
E2L2	s18	Pectobacterium	log	500	Pec_log_500_E2L2	0.05965	0.070516	0.127462	0.117357	0.163268	0.171121	0.181917	0.169575	0.032477	0.065171	0.108899	0.132993	0.300474	0.242249	0.282079
E2L2	s19	Pectobacterium	log	500	Pec_log_500_E2L2	0.074296	0.085278	0.121594	0.131487	0.168172	0.187996	0.192031	0.193292	0.019991	0.051797	0.088921	0.13311	0.312068	0.249374	0.280916
E2L2	s20	Pectobacterium	log	500	Pec_log_500_E2L2	0.073357	0.107742	0.128946	0.135945	0.161291	0.191607	0.193758	0.193191	0.014836	0.0489	0.076661	0.143009	0.302813	0.225901	0.273795
E3L1	s1	Pectobacterium	log	5	Pec_log_5_E3L1	0.041235	0.060071	0.109386	0.080916	0.139031	0.1751	0.170157	0.13519	0.06356	0.104423	0.194269	0.204949	0.231571	0.290323	0.276668
E3L1	s2	Pectobacterium	log	5	Pec_log_5_E3L1	0.048552	0.06091	0.090663	0.083205	0.14417	0.163886	0.177431	0.144483	0.06044	0.089859	0.198574	0.204021	0.261467	0.281833	0.257451
E3L1	s3	Pectobacterium	log	5	Pec_log_5_E3L1	0.037292	0.034346	0.09914	0.099827	0.147042	0.167574	0.169106	0.143798	0.051314	0.095747	0.153839	0.193426	0.266022	0.291194	0.275557
E3L1	s4	Pectobacterium	log	5	Pec_log_5_E3L1	0.063948	0.05393	0.11029	0.092048	0.137114	0.163604	0.168224	0.140778	0.06036	0.090668	0.198587	0.211042	0.261891	0.270367	0.265181
E3L1	s5	Pectobacterium	log	5	Pec_log_5_E3L1	0.065905	0.061067	0.10877	0.105457	0.153646	0.159649	0.170125	0.132664	0.055828	0.097808	0.186506	0.203961	0.235859	0.280201	0.266607
E3L1	s6	Pectobacterium	log	5	Pec_log_5_E3L1	0.039402	0.034413	0.109733	0.085306	0.129864	0.162656	0.18396	0.140961	0.059395	0.098961	0.184781	0.199623	0.255402	0.270681	0.257338
E3L1	s7	Pectobacterium	log	5	Pec_log_5_E3L1	0.056578	0.042842	0.102408	0.080561	0.142796	0.154185	0.171949	0.142667	0.061274	0.089918	0.184701	0.205213	0.250624	0.275773	0.265372
E3L1	s8	Pectobacterium	log	5	Pec_log_5_E3L1	0.021809	0.008094	0.099236	0.08202	0.144496	0.169273	0.176937	0.150003	0.042363	0.079689	0.177192	0.210128	0.271145	0.301248	0.284701
E3L1	s9	Pectobacterium	log	5	Pec_log_5_E3L1	0.044251	0.041765	0.099447	0.082493	0.131409	0.169233	0.180877	0.134636	0.060381	0.10694	0.201873	0.214039	0.242991	0.290802	0.265785
E3L1	s10	Pectobacterium	log	5	Pec_log_5_E3L1	0.044803	0.044778	0.108755	0.094313	0.136333	0.178927	0.19256	0.138737	0.047507	0.101279	0.17834	0.201602	0.245487	0.280591	0.243275
E3L1	s11	Pectobacterium	log	5	Pec_log_5_E3L1	0.042621	0.038553	0.107955	0.093073	0.150169	0.163091	0.184132	0.12658	0.051146	0.096579	0.184541	0.210603	0.259932	0.278184	0.273227
E3L1	s12	Pectobacterium	log	5	Pec_log_5_E3L1	0.042159	0.041605	0.107549	0.093753	0.142996	0.159554	0.169822	0.151215	0.057215	0.091346	0.172805	0.203632	0.261871	0.283619	0.243723
E3L1	s13	Pectobacterium	log	5	Pec_log_5_E3L1	0.049681	0.04142	0.108028	0.084993	0.121738	0.16577	0.177978	0.144319	0.057716	0.093212	0.186408	0.216248	0.25413	0.281988	0.254717
E3L1	s14	Pectobacterium	log	5	Pec_log_5_E3L1	0.054402	0.046493	0.10568	0.084551	0.128729	0.157222	0.175869	0.129521	0.053732	0.10869	0.203292	0.213402	0.251301	0.287319	0.255026
E3L1	s15	Pectobacterium	log	5	Pec_log_5_E3L1	0.035511	0.054174	0.116297	0.089795	0.134988	0.17287	0.188018	0.139955	0.061789	0.089114	0.175234	0.207144	0.243715	0.272576	0.240543
E3L1	s16	Pectobacterium	log	5	Pec_log_5_E3L1	0.042824	0.028929	0.107179	0.084893	0.137101	0.174088	0.17953	0.128948	0.054214	0.099467	0.189578	0.215624	0.251797	0.28955	0.258203
E3L1	s17	Pectobacterium	log	5	Pec_log_5_E3L1	0.04692	0.04367	0.104205	0.090375	0.13905	0.157571	0.173048	0.136878	0.046708	0.09397	0.188869	0.207141	0.249348	0.283025	0.261968
E3L1	s18	Pectobacterium	log	5	Pec_log_5_E3L1	0.053565	0.049738	0.096746	0.090306	0.148285	0.15988	0.170757	0.133569	0.052738	0.099171	0.196753	0.201918	0.261925	0.278741	0.266241
E3L1	s19	Pectobacterium	log	5	Pec_log_5_E3L1	0.056997	0.043413	0.108444	0.086814	0.135241	0.162349	0.17784	0.143199	0.050244	0.106972	0.180112	0.209668	0.255038	0.283906	0.241683
E3L1	s20	Pectobacterium	log	5	Pec_log_5_E3L1	0.051102	0.054561	0.114946	0.090976	0.144284	0.166849	0.176988	0.1404	0.052674	0.100215	0.170787	0.194747	0.254927	0.272104	0.251554
E3L2	s1	Pectobacterium	log	5	Pec_log_5_E3L2	0.035727	0.047536	0.110635	0.095543	0.153823	0.172201	0.18589	0.154279	0.042104	0.078315	0.150247	0.193841	0.263203	0.270651	0.273995
E3L2	s2	Pectobacterium	log	5	Pec_log_5_E3L2	0.047607	0.044671	0.110948	0.088663	0.140783	0.174606	0.184627	0.138596	0.050074	0.096413	0.191369	0.207042	0.262926	0.289551	0.273789
E3L2	s3	Pectobacterium	log	5	Pec_log_5_E3L2	0.055707	0.055262	0.11416	0.090449	0.137751	0.181059	0.180292	0.149062	0.048124	0.092289	0.162586	0.191626	0.257649	0.254573	0.261679
E3L2	s4	Pectobacterium	log	5	Pec_log_5_E3L2	0.053113	0.064514	0.109573	0.102218	0.147092	0.190699	0.187322	0.139969	0.048757	0.089283	0.181583	0.188065	0.265373	0.262102	0.259144
E3L2	s5	Pectobacterium	log	5	Pec_log_5_E3L2	0.063971	0.078979	0.106076	0.091659	0.135154	0.174267	0.183634	0.141482	0.056747	0.10662	0.190264	0.189393	0.252728	0.266048	0.26771
E3L2	s6	Pectobacterium	log	5	Pec_log_5_E3L2	0.042631	0.042832	0.105704	0.086259	0.143383	0.170315	0.180453	0.127185	0.0485	0.101451	0.17602	0.202408	0.260775	0.273223	0.268852
E3L2	s7	Pectobacterium	log	5	Pec_log_5_E3L2	0.053414	0.068035	0.113992	0.088211	0.138281	0.184346	0.193054	0.139653	0.053384	0.082544	0.165287	0.19814	0.260354	0.274519	0.25539
E3L2	s8	Pectobacterium	log	5	Pec_log_5_E3L2	0.066704	0.060202	0.113923	0.081421	0.141545	0.169882	0.184177	0.13271	0.054265	0.092175	0.182987	0.198667	0.23838	0.265177	0.270816
E3L2	s9	Pectobacterium	log	5	Pec_log_5_E3L2	0.041302	0.0351	0.106055	0.090386	0.150892	0.167621	0.184618	0.127234	0.06055	0.094891	0.189845	0.201065	0.262957	0.272482	0.271346
E3L2	s10	Pectobacterium	log	5	Pec_log_5_E3L2	0.049487	0.038708	0.096683	0.081983	0.136228	0.158814	0.182576	0.133792	0.058821	0.088222	0.175788	0.229623	0.238847	0.282216	0.242101
E3L2	s11	Pectobacterium	log	5	Pec_log_5_E3L2	0.037926	0.037234	0.10215	0.090451	0.139473	0.173961	0.186641	0.143994	0.050393	0.093506	0.182354	0.218278	0.245769	0.266614	0.252522
E3L2	s12	Pectobacterium	log	5	Pec_log_5_E3L2	0.044813	0.056067	0.114361	0.111228	0.150778	0.177161	0.181112	0.140741	0.048581	0.09977	0.175686	0.188306	0.256524	0.25936	0.251613
E3L2	s13	Pectobacterium	log	5	Pec_log_5_E3L2	0.032627	0.040733	0.107608	0.088789	0.146147	0.170176	0.185863	0.141972	0.053159	0.09481	0.200786	0.211696	0.265785	0.279148	0.258068
E3L2	s14	Pectobacterium	log	5	Pec_log_5_E3L2	0.056873	0.043579	0.112763	0.087582	0.133943	0.157118	0.177679	0.134408	0.046621	0.089774	0.177411	0.192439	0.258687	0.271596	0.280676
E3L2	s15	Pectobacterium	log	5	Pec_log_5_E3L2	0.046099	0.036862	0.111372	0.094373	0.148153	0.170999	0.186349	0.132972	0.055109	0.098983	0.203635	0.21506	0.251589	0.279223	0.257939
E3L2	s16	Pectobacterium	log	5	Pec_log_5_E3L2	0.05725	0.037418	0.115507	0.093335	0.140689	0.167652	0.180133	0.136974	0.046777	0.089429	0.15068	0.192934	0.267444	0.263742	0.262124
E3L2	s17	Pectobacterium	log	5	Pec_log_5_E3L2	0.070813	0.064477	0.137288	0.111133	0.140029	0.188615	0.187856	0.144706	0.044995	0.09719	0.183747	0.186008	0.270849	0.266321	0.262092
E3L2	s18	Pectobacterium	log	5	Pec_log_5_E3L2	0.047984	0.057282	0.112705	0.09202	0.140288	0.172876	0.189476	0.137427	0.062811	0.099634	0.197936	0.198892	0.244592	0.281191	0.256945
E3L2	s19	Pectobacterium	log	5	Pec_log_5_E3L2	0.047699	0.039227	0.102968	0.084084	0.150465	0.180351	0.190972	0.147176	0.044927	0.087153	0.175099	0.204253	0.254421	0.278177	0.248263
E3L2	s20	Pectobacterium	log	5	Pec_log_5_E3L2	0.065193	0.063064	0.119766	0.091266	0.139011	0.165872	0.189546	0.141472	0.063428	0.097116	0.171852	0.188415	0.24208	0.276313	0.25828
E4L1	s1	Pectobacterium	log	50	Pec_log_50_E4L1	0.080834	0.092084	0.12316	0.127316	0.167751	0.183469	0.186733	0.185204	0.021103	0.059912	0.104136	0.146908	0.319681	0.239978	0.273702
E4L1	s2	Pectobacterium	log	50	Pec_log_50_E4L1	0.1029	0.132827	0.134639	0.138031	0.152763	0.190803	0.176612	0.206458	0.029788	0.046255	0.096013	0.137115	0.291647	0.244928	0.251604
E4L1	s3	Pectobacterium	log	50	Pec_log_50_E4L1	0.072345	0.098694	0.123911	0.125855	0.162389	0.172488	0.182736	0.181639	0.0314	0.066366	0.100627	0.147497	0.31761	0.240246	0.249228
E4L1	s4	Pectobacterium	log	50	Pec_log_50_E4L1	0.093051	0.086332	0.109662	0.117512	0.14915	0.148024	0.171795	0.16835	0.040235	0.055939	0.115052	0.13839	0.295331	0.231741	0.271379
E4L1	s5	Pectobacterium	log	50	Pec_log_50_E4L1	0.085506	0.104129	0.130102	0.136401	0.156969	0.145771	0.172179	0.17309	0.039728	0.05917	0.126672	0.14661	0.299318	0.248941	0.253961
E4L1	s6	Pectobacterium	log	50	Pec_log_50_E4L1	0.091228	0.124588	0.137886	0.127346	0.143526	0.173981	0.164933	0.180318	0.031715	0.053854	0.107824	0.136885	0.267784	0.236729	0.254986
E4L1	s7	Pectobacterium	log	50	Pec_log_50_E4L1	0.076314	0.105079	0.127052	0.134347	0.16312	0.167939	0.187941	0.196204	0.027107	0.063686	0.105037	0.135446	0.275576	0.253046	0.247516
E4L1	s8	Pectobacterium	log	50	Pec_log_50_E4L1	0.061863	0.097284	0.140913	0.127953	0.157709	0.172557	0.183148	0.201361	0.029338	0.061728	0.09228	0.131082	0.315286	0.246434	0.264168
